"zip","city","county","state","pop"
"95991","Yuba City","Sutter","CA",40684
"90278","Redondo Beach","Los Angeles","CA",40649
"93454","Santa Maria","Santa Barbara","CA",40604
"95404","Santa Rosa","Sonoma","CA",40474
"91311","Chatsworth","Los Angeles","CA",40420
"92253","La Quinta","Riverside","CA",40368
"93552","Palmdale","Los Angeles","CA",40266
"91942","La Mesa","San Diego","CA",40205
"95835","Sacramento","Sacramento","CA",40101
"91701","Rancho Cucamonga","San Bernardino","CA",40034
"92231","Calexico","Imperial","CA",40019
"95129","San Jose","Santa Clara","CA",39828
"91739","Rancho Cucamonga","San Bernardino","CA",39803
"92037","La Jolla","San Diego","CA",39724
"92806","Anaheim","Orange","CA",39719
"94061","Redwood City","San Mateo","CA",39624
"90005","Los Angeles","Los Angeles","CA",39479
"90802","Long Beach","Los Angeles","CA",39453
"95050","Santa Clara","Santa Clara","CA",39452
"94611","Oakland","Alameda","CA",39384
"93637","Madera","Madera","CA",39381
"90804","Long Beach","Los Angeles","CA",39344
"92101","San Diego","San Diego","CA",39313
"92307","Apple Valley","San Bernardino","CA",39273
"92508","Riverside","Riverside","CA",39225
"95838","Sacramento","Sacramento","CA",39187
"90020","Los Angeles","Los Angeles","CA",39102
"93534","Lancaster","Los Angeles","CA",39088
"94044","Pacifica","San Mateo","CA",39065
"92083","Vista","San Diego","CA",39043
"95926","Chico","Butte","CA",39012
"95401","Santa Rosa","Sonoma","CA",38986
"92337","Fontana","San Bernardino","CA",38868
"90808","Long Beach","Los Angeles","CA",38860
"93305","Bakersfield","Kern","CA",38725
"95301","Atwater","Merced","CA",38707
"93245","Lemoore","Kings","CA",38606
"90810","Long Beach","Los Angeles","CA",38579
"94520","Concord","Contra Costa","CA",38568
"95205","Stockton","San Joaquin","CA",38544
"90031","Los Angeles","Los Angeles","CA",38535
"94954","Petaluma","Sonoma","CA",38414
"91776","San Gabriel","Los Angeles","CA",38410
"91763","Montclair","San Bernardino","CA",38406
"94555","Fremont","Alameda","CA",38388
"93711","Fresno","Fresno","CA",38349
"95382","Turlock","Stanislaus","CA",38343
"94606","Oakland","Alameda","CA",38303
"95826","Sacramento","Sacramento","CA",38256
"95121","San Jose","Santa Clara","CA",38102
"93021","Moorpark","Ventura","CA",38063
"95062","Santa Cruz","Santa Cruz","CA",38028
"90036","Los Angeles","Los Angeles","CA",37988
"91104","Pasadena","Los Angeles","CA",37974
"95691","West Sacramento","Yolo","CA",37906
"90029","Los Angeles","Los Angeles","CA",37898
"95765","Rocklin","Placer","CA",37878
"95120","San Jose","Santa Clara","CA",37774
"91001","Altadena","Los Angeles","CA",37711
"93705","Fresno","Fresno","CA",37707
"95337","Manteca","San Joaquin","CA",37706
"95128","San Jose","Santa Clara","CA",37665
"90505","Torrance","Los Angeles","CA",37641
"91205","Glendale","Los Angeles","CA",37618
"92543","Hemet","Riverside","CA",37615
"95928","Chico","Butte","CA",37558
"92821","Brea","Orange","CA",37529
"92675","San Juan Capistrano","Orange","CA",37457
"94590","Vallejo","Solano","CA",37377
"92831","Fullerton","Orange","CA",37353
"91350","Santa Clarita","Los Angeles","CA",37350
"90301","Inglewood","Los Angeles","CA",37291
"95688","Vacaville","Solano","CA",37227
"91601","North Hollywood","Los Angeles","CA",37085
"92139","San Diego","San Diego","CA",37040
"91326","Northridge","Los Angeles","CA",37035
"90049","Los Angeles","Los Angeles","CA",36964
"95993","Yuba City","Sutter","CA",36962
"92869","Orange","Orange","CA",36913
"92660","Newport Beach","Orange","CA",36906
"94404","San Mateo","San Mateo","CA",36905
"91711","Claremont","Los Angeles","CA",36854
"95476","Sonoma","Sonoma","CA",36792
"95667","Placerville","El Dorado","CA",36620
"93405","San Luis Obispo","San Luis Obispo","CA",36550
"95660","North Highlands","Sacramento","CA",36472
"95340","Merced","Merced","CA",36373
"94588","Pleasanton","Alameda","CA",36316
"92065","Ramona","San Diego","CA",36309
"91340","San Fernando","Los Angeles","CA",36227
"93012","Camarillo","Ventura","CA",36225
"94952","Petaluma","Sonoma","CA",36184
"91362","Thousand Oaks","Ventura","CA",36062
"95126","San Jose","Santa Clara","CA",35988
